"Gender","Age","Education","Income","Income2","Occupation","State","Relationship.Status","Obligation","Obligation2","NEP","Vacation.Behaviour"
"Female",25,6,"$30,001 to $60,000","30-60k","Clerical or service worker","VIC","single",4.8,"Q4",3.2,2.06666666666667
"Female",31,8,"$120,001 to $150,000",">120k","professional","WA","married",3.3,"Q1",3.4,2
"Male",21,3,"$90,001 to $120,000","90-120k",NA,"NSW","single",3.4,"Q2",3.06666666666667,1.23333333333333
"Female",18,2,"$30,001 to $60,000","30-60k","unemployed","NSW","single",2.63333333333333,"Q1",3.4,2.16666666666667
"Male",61,3,"Less than $30,000","<30k","retired","WA","married",3.4,"Q2",3.73333333333333,1.72413793103448
"Female",63,7,"$30,001 to $60,000","30-60k","retired","QLD","married",4.4,"Q4",4.26666666666667,3.3
"Male",58,2,"Less than $30,000","<30k","retired","Tas","separated or divorced",3.43333333333333,"Q2",3.26666666666667,3.66666666666667
"Male",41,8,"$30,001 to $60,000","30-60k","manager or administrator","VIC","living with a partner",4.26666666666667,"Q4",4.26666666666667,3.23529411764706
"Female",36,8,"$90,001 to $120,000","90-120k","manager or administrator","NSW","separated or divorced",3.7,"Q2",2.93333333333333,2.74074074074074
"Female",56,2,"$30,001 to $60,000","30-60k","retired","NSW","married",4.16666666666667,"Q3",3.6,2.75
"Male",30,8,"$120,001 to $150,000",">120k","professional","VIC","living with a partner",4.13333333333333,"Q3",3.6,2.93333333333333
"Male",40,6,"$120,001 to $150,000",">120k","manager or administrator","NSW","living with a partner",4.33333333333333,"Q4",3.93333333333333,3.17241379310345
"Female",75,4,"Less than $30,000","<30k","retired","SA","widowed",4.06666666666667,"Q3",4.06666666666667,3.46666666666667
"Female",50,7,"Less than $30,000","<30k","unemployed","NSW","separated or divorced",4.66666666666667,"Q4",4.2,3.71428571428571
"Male",62,3,"Less than $30,000","<30k","sales","WA","married",4.13333333333333,"Q3",3.93333333333333,3.07407407407407
"Male",33,3,"Less than $30,000","<30k","professional","WA","separated or divorced",3.63333333333333,"Q2",4.13333333333333,2
"Female",55,1,"$30,001 to $60,000","30-60k","sales","VIC","married",3.3,"Q1",4.13333333333333,3.5
"Male",51,8,"$90,001 to $120,000","90-120k","professional","NSW","single",3.93333333333333,"Q3",4.2,3.46153846153846
"Male",69,7,"$120,001 to $150,000",">120k","professional","VIC","married",4.06666666666667,"Q3",3.66666666666667,2.59259259259259
"Male",23,6,"Less than $30,000","<30k","unemployed","QLD","single",3.86666666666667,"Q3",3.13333333333333,3.73333333333333
"Male",42,6,"$60,001 to $90,000","60-90k","tradesperson","NSW","married",3.63333333333333,"Q2",3.6,1.96666666666667
"Female",35,7,"$90,001 to $120,000","90-120k","manager or administrator","VIC","living with a partner",3.8,"Q2",4.66666666666667,2.96666666666667
"Male",33,7,"$90,001 to $120,000","90-120k","manager or administrator","VIC","single",4.6,"Q4",4.13333333333333,4
"Female",37,1,NA,NA,"professional","VIC","living with a partner",4.5,"Q4",3.4,2.83333333333333
"Male",57,6,"$60,001 to $90,000","60-90k","professional","SA","married",4.43333333333333,"Q4",4.26666666666667,2.65384615384615
"Male",45,6,"$60,001 to $90,000","60-90k","manager or administrator","NSW","married",3.06666666666667,"Q1",2.93333333333333,2.3
"Female",26,7,NA,NA,"professional","VIC","living with a partner",4.36666666666667,"Q4",3.4,3.44
"Male",42,7,"$90,001 to $120,000","90-120k","manager or administrator","VIC","married",3.33333333333333,"Q1",4.2,1.8
"Male",27,7,"$30,001 to $60,000","30-60k","professional","VIC","single",3.66666666666667,"Q2",3.6,2.27777777777778
"Male",43,8,"$90,001 to $120,000","90-120k","professional","WA","married",3.76666666666667,"Q2",3.46666666666667,3.14285714285714
"Male",41,7,"$90,001 to $120,000","90-120k","manager or administrator","QLD","married",3.7,"Q2",3.06666666666667,2.53333333333333
"Female",37,7,"$60,001 to $90,000","60-90k","manager or administrator","VIC","married",4.03333333333333,"Q3",4.26666666666667,2.93333333333333
